2016-09-28 00:09:07.849 | SandleSyncEngine         | WARNING  | Thumbnail does not exist: D:\data\Session-2835a3c0-0d44-11e6-92ed-408d5c1606f4\w15_z06_thumb.png
2016-09-28 00:09:07.849 | SandleSyncEngine         | WARNING  | Thumbnail does not exist: D:\data\Session-2835a3c0-0d44-11e6-92ed-408d5c1606f4\w13_z06_thumb.png
2016-09-28 00:09:07.849 | SandleSyncEngine         | WARNING  | Thumbnail does not exist: D:\data\Session-2835a3c0-0d44-11e6-92ed-408d5c1606f4\w01_z06_thumb.png
2016-09-28 00:09:07.849 | SandleSyncEngine         | WARNING  | Thumbnail does not exist: D:\data\Session-2835a3c0-0d44-11e6-92ed-408d5c1606f4\w16_z06_thumb.png
2016-09-28 00:09:07.849 | SandleSyncEngine         | WARNING  | Thumbnail does not exist: D:\data\Session-2835a3c0-0d44-11e6-92ed-408d5c1606f4\w10_z06_thumb.png
2016-09-28 00:09:07.849 | SandleSyncEngine         | WARNING  | Thumbnail does not exist: D:\data\Session-2835a3c0-0d44-11e6-92ed-408d5c1606f4\w04_z06_thumb.png
2016-09-28 00:09:07.849 | SandleSyncEngine         | WARNING  | Thumbnail does not exist: D:\data\Session-2835a3c0-0d44-11e6-92ed-408d5c1606f4\w14_z06_thumb.png
2016-09-28 00:10:00.078 | ApplicationManager.1       | INFO     | Schedule Starting, CH1: dish@1175um - 11 stacks x 15um
2016-09-28 00:10:00.157 | ApplicationManager.0       | INFO     | Schedule (Instrument) Summary: Started 2016-09-28 00:10:00 UTC, Finished 0 actions in 0:00
2016-09-28 00:10:00.187 | ApplicationManager.5       | INFO     | Schedule Starting, CH5: dish@1540um - 11 stacks x 25um
2016-09-28 00:10:00.187 | ApplicationManager.3       | INFO     | Schedule Starting, CH3: dish@1255um - 11 stacks x 25um
2016-09-28 00:10:00.234 | ApplicationManager.6       | INFO     | Schedule Starting, CH6: dish@975um - 11 stacks x 30um
2016-09-28 00:10:06.319 | ApplicationManager.4       | INFO     | Schedule (Chamber 4) Summary: Started 2016-09-28 00:10:00 UTC, Finished 1 actions in 0:06
2016-09-28 00:10:06.599 | ApplicationManager.2       | INFO     | Schedule (Chamber 2) Summary: Started 2016-09-28 00:10:00 UTC, Finished 1 actions in 0:06
2016-09-28 00:10:18.269 | SandleSyncEngine         | WARNING  | Thumbnail does not exist: D:\data\Session-2835a3c0-0d44-11e6-92ed-408d5c1606f4\w07_z06_thumb.png
